AREA,,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN
Year,,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020
Month,Day,HORA,,,,,,,,,,,,,,,,,
1,2,19,874,"7,273","5,122","2,092","2,989","7,879","6,369","1,617",,0.87,7.27,5.12,2.09,2.99,7.88,6.37,1.62
1,2,20,860,"7,181","5,139","2,076","2,992","7,806","6,269","1,603",,0.86,7.18,5.14,2.08,2.99,7.81,6.27,1.60
1,2,21,824,"6,897","5,067","2,034","2,948","7,561","6,035","1,582",,0.82,6.90,5.07,2.03,2.95,7.56,6.04,1.58
1,2,22,789,"6,558","4,999","1,975","2,858","7,281","5,848","1,542",,0.79,6.56,5.00,1.98,2.86,7.28,5.85,1.54
1,2,23,738,"6,270","4,999","1,900","2,730","7,000","5,609","1,486",,0.74,6.27,5.00,1.90,2.73,7.00,5.61,1.49
1,3,0,698,"5,637","4,787","1,808","2,590","6,644","5,314","1,421",,0.70,5.64,4.79,1.81,2.59,6.64,5.31,1.42
1,3,1,667,"5,438","4,567","1,736","2,455","6,442","5,139","1,360",,0.67,5.44,4.57,1.74,2.46,6.44,5.14,1.36
1,3,2,645,"5,160","4,556","1,678","2,392","6,245","4,965","1,311",,0.65,5.16,4.56,1.68,2.39,6.25,4.97,1.31
1,3,3,638,"5,274","4,484","1,647","2,341","6,166","4,872","1,268",,0.64,5.27,4.48,1.65,2.34,6.17,4.87,1.27
1,3,4,643,"5,151","4,482","1,607","2,326","6,216","4,823","1,247",,0.64,5.15,4.48,1.61,2.33,6.22,4.82,1.25
1,3,5,655,"5,408","4,511","1,614","2,355","6,271","4,846","1,239",,0.66,5.41,4.51,1.61,2.36,6.27,4.85,1.24
1,3,6,688,"5,701","4,596","1,672","2,402","6,585","4,907","1,246",,0.69,5.70,4.60,1.67,2.40,6.59,4.91,1.25
1,3,7,729,"6,007","4,804","1,725","2,512","6,906","4,812","1,303",,0.73,6.01,4.80,1.73,2.51,6.91,4.81,1.30
1,3,8,762,"6,108","5,056","1,755","2,627","7,229","4,981","1,407",,0.76,6.11,5.06,1.76,2.63,7.23,4.98,1.41
1,3,9,784,"6,546","5,162","1,831","2,711","7,500","5,234","1,484",,0.78,6.55,5.16,1.83,2.71,7.50,5.23,1.48
1,3,10,803,"6,541","5,281","1,899","2,784","7,655","5,381","1,544",,0.80,6.54,5.28,1.90,2.78,7.66,5.38,1.54
1,3,11,813,"6,788","5,221","1,942","2,811","7,750","5,486","1,583",,0.81,6.79,5.22,1.94,2.81,7.75,5.49,1.58
1,3,12,817,"6,872","5,083","1,949","2,843","7,832","5,604","1,597",,0.82,6.87,5.08,1.95,2.84,7.83,5.60,1.60
1,3,13,821,"6,773","5,202","1,953","2,803","7,865","5,581","1,615",,0.82,6.77,5.20,1.95,2.80,7.87,5.58,1.62
1,3,14,814,"6,731","5,205","1,958","2,777","7,851","5,653","1,634",,0.81,6.73,5.21,1.96,2.78,7.85,5.65,1.63
1,3,15,813,"6,784","5,188","1,972","2,761","7,840","5,641","1,657",,0.81,6.78,5.19,1.97,2.76,7.84,5.64,1.66
1,3,16,818,"6,800","5,146","1,981","2,759","7,853","5,683","1,660",,0.82,6.80,5.15,1.98,2.76,7.85,5.68,1.66
1,3,17,859,"6,857","5,065","1,986","2,741","7,698","5,788","1,674",,0.86,6.86,5.07,1.99,2.74,7.70,5.79,1.67
1,3,18,875,"7,174","5,131","2,028","2,891","7,802","6,281","1,725",,0.88,7.17,5.13,2.03,2.89,7.80,6.28,1.73
1,3,19,871,"7,442","5,210","2,137","3,004","8,184","6,457","1,692",,0.87,7.44,5.21,2.14,3.00,8.18,6.46,1.69
1,3,20,858,"7,339","5,117","2,124","3,029","8,079","6,349","1,675",,0.86,7.34,5.12,2.12,3.03,8.08,6.35,1.68
1,3,21,828,"7,032","5,057","2,088","2,996","7,787","6,114","1,660",,0.83,7.03,5.06,2.09,3.00,7.79,6.11,1.66
1,3,22,787,"6,728","5,067","2,021","2,920","7,478","5,930","1,624",,0.79,6.73,5.07,2.02,2.92,7.48,5.93,1.62
1,3,23,740,"6,274","5,063","1,919","2,795","7,157","5,712","1,576",,0.74,6.27,5.06,1.92,2.80,7.16,5.71,1.58
1,4,0,704,"5,564","4,862","1,816","2,662","6,791","5,404","1,509",,0.70,5.56,4.86,1.82,2.66,6.79,5.40,1.51
1,4,1,673,"5,347","4,752","1,746","2,540","6,633","5,287","1,444",,0.67,5.35,4.75,1.75,2.54,6.63,5.29,1.44
1,4,2,656,"5,136","4,562","1,703","2,463","6,415","5,119","1,395",,0.66,5.14,4.56,1.70,2.46,6.42,5.12,1.40
1,4,3,642,"5,111","4,521","1,672","2,426","6,334","4,964","1,342",,0.64,5.11,4.52,1.67,2.43,6.33,4.96,1.34
1,4,4,645,"4,906","4,590","1,643","2,400","6,324","4,944","1,306",,0.65,4.91,4.59,1.64,2.40,6.32,4.94,1.31
1,4,5,657,"5,156","4,575","1,655","2,408","6,382","4,979","1,280",,0.66,5.16,4.58,1.66,2.41,6.38,4.98,1.28
1,4,6,673,"5,387","4,647","1,686","2,440","6,591","5,035","1,267",,0.67,5.39,4.65,1.69,2.44,6.59,5.04,1.27
1,4,7,692,"5,569","4,767","1,721","2,498","6,862","4,962","1,291",,0.69,5.57,4.77,1.72,2.50,6.86,4.96,1.29
1,4,8,732,"5,763","4,884","1,744","2,531","7,063","5,042","1,365",,0.73,5.76,4.88,1.74,2.53,7.06,5.04,1.37
1,4,9,745,"6,186","5,018","1,846","2,612","7,274","5,278","1,425",,0.75,6.19,5.02,1.85,2.61,7.27,5.28,1.43
1,4,10,752,"6,285","5,030","1,906","2,685","7,366","5,371","1,453",,0.75,6.29,5.03,1.91,2.69,7.37,5.37,1.45
1,4,11,763,"6,487","4,997","1,933","2,717","7,448","5,382","1,454",,0.76,6.49,5.00,1.93,2.72,7.45,5.38,1.45
1,4,12,770,"6,570","5,013","1,962","2,706","7,479","5,360","1,437",,0.77,6.57,5.01,1.96,2.71,7.48,5.36,1.44
1,4,13,768,"6,545","4,934","1,972","2,673","7,402","5,277","1,413",,0.77,6.55,4.93,1.97,2.67,7.40,5.28,1.41
1,4,14,759,"6,518","4,844","1,953","2,615","7,211","5,231","1,367",,0.76,6.52,4.84,1.95,2.62,7.21,5.23,1.37
1,4,15,756,"6,508","4,776","1,957","2,568","7,130","5,175","1,339",,0.76,6.51,4.78,1.96,2.57,7.13,5.18,1.34
1,4,16,763,"6,309","4,727","1,951","2,573","7,129","5,119","1,329",,0.76,6.31,4.73,1.95,2.57,7.13,5.12,1.33
1,4,17,816,"6,410","4,787","1,927","2,554","7,169","5,294","1,376",,0.82,6.41,4.79,1.93,2.55,7.17,5.29,1.38
1,4,18,839,"6,999","5,029","1,979","2,744","7,489","5,847","1,421",,0.84,7.00,5.03,1.98,2.74,7.49,5.85,1.42
1,4,19,823,"7,087","4,995","2,088","2,863","7,616","5,907","1,394",,0.82,7.09,5.00,2.09,2.86,7.62,5.91,1.39
1,4,20,808,"6,978","4,968","2,056","2,852","7,482","5,724","1,372",,0.81,6.98,4.97,2.06,2.85,7.48,5.72,1.37
1,4,21,787,"6,813","4,867","2,028","2,833","7,368","5,571","1,332",,0.79,6.81,4.87,2.03,2.83,7.37,5.57,1.33
1,4,22,744,"6,642","4,808","1,975","2,764","7,287","5,407","1,269",,0.74,6.64,4.81,1.98,2.76,7.29,5.41,1.27
1,4,23,702,"6,082","4,694","1,912","2,677","6,864","5,093","1,208",,0.70,6.08,4.69,1.91,2.68,6.86,5.09,1.21
1,5,0,669,"5,642","4,519","1,829","2,571","6,478","4,835","1,150",,0.67,5.64,4.52,1.83,2.57,6.48,4.84,1.15
1,5,1,645,"5,138","4,414","1,726","2,461","6,218","4,681","1,104",,0.65,5.14,4.41,1.73,2.46,6.22,4.68,1.10
1,5,2,637,"4,982","4,302","1,669","2,382","6,034","4,515","1,069",,0.64,4.98,4.30,1.67,2.38,6.03,4.52,1.07
1,5,3,623,"4,865","4,272","1,628","2,339","5,928","4,410","1,044",,0.62,4.87,4.27,1.63,2.34,5.93,4.41,1.04
1,5,4,624,"4,854","4,176","1,597","2,308","5,903","4,383","1,026",,0.62,4.85,4.18,1.60,2.31,5.90,4.38,1.03
1,5,5,616,"4,813","4,168","1,601","2,318","5,876","4,389","1,020",,0.62,4.81,4.17,1.60,2.32,5.88,4.39,1.02
1,5,6,624,"4,980","4,171","1,615","2,358","5,863","4,394","1,010",,0.62,4.98,4.17,1.62,2.36,5.86,4.39,1.01
1,5,7,630,"4,916","4,053","1,596","2,485","5,914","4,310","1,008",,0.63,4.92,4.05,1.60,2.49,5.91,4.31,1.01
1,5,8,652,"5,206","4,102","1,597","2,496","5,956","4,394","1,049",,0.65,5.21,4.10,1.60,2.50,5.96,4.39,1.05
1,5,9,671,"5,419","4,231","1,674","2,532","6,072","4,521","1,097",,0.67,5.42,4.23,1.67,2.53,6.07,4.52,1.10
1,5,10,688,"5,741","4,291","1,741","2,574","6,261","4,597","1,130",,0.69,5.74,4.29,1.74,2.57,6.26,4.60,1.13
1,5,11,695,"5,709","4,288","1,776","2,569","6,308","4,639","1,137",,0.70,5.71,4.29,1.78,2.57,6.31,4.64,1.14
1,5,12,699,"5,894","4,322","1,812","2,547","6,335","4,654","1,144",,0.70,5.89,4.32,1.81,2.55,6.34,4.65,1.14
1,5,13,698,"5,862","4,315","1,832","2,495","6,274","4,703","1,141",,0.70,5.86,4.32,1.83,2.50,6.27,4.70,1.14
1,5,14,699,"5,849","4,308","1,837","2,355","6,299","4,691","1,141",,0.70,5.85,4.31,1.84,2.36,6.30,4.69,1.14
1,5,15,701,"5,735","4,250","1,857","2,330","6,314","4,703","1,147",,0.70,5.74,4.25,1.86,2.33,6.31,4.70,1.15
1,5,16,714,"5,801","4,295","1,854","2,332","6,315","4,733","1,161",,0.71,5.80,4.30,1.85,2.33,6.32,4.73,1.16
1,5,17,778,"5,952","4,327","1,814","2,366","6,382","4,852","1,225",,0.78,5.95,4.33,1.81,2.37,6.38,4.85,1.23
